acousticness,album,artist,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,playlist,popularity,speechiness,tempo,time_signature,track_id,track_name,valence
0.184,Thanks Giving,Bisa Kdei,0.817,210373,0.656,0.0114,1,0.0658,-6.72,1,Afrobeats 2013,17.0,0.141,129.99,4,6vsTtvm2DjI0sfZvLVwb9t,Over,0.538
0.342,"Sarkodie, Vol. 2",Sarkodie,0.843,291782,0.675,0.0,3,0.0462,-4.099,0,Afrobeats 2014,24.0,0.0669,109.974,4,4EMOdqB2ALVMtd7vUWMjGZ,Adonai,0.909
0.197,Answers (The Hybrid),Shatta Wale,0.957,159293,0.597,0.0,6,0.0659,-7.634,1,Afrobeats 2014,30.0,0.371,120.0,4,17gfTKmUxjojfOJlwAOGH5,Everybody Like My Ting,0.909
0.0235,Sitya Loss,Eddy Kenzo,0.799,248477,0.887,0.0,7,0.196,-4.358,1,Afrobeats 2014,39.0,0.14,120.022,4,5a39V8NZADQeq7yxRJ8H7l,Sitya Loss,0.953
0.0928,Borkor Borkor,MzVee,0.756,212571,0.801,0.0,0,0.0722,-3.577,0,Afrobeats 2014,2.0,0.163,104.976,4,3hxkbWGfM4Yx3mtaJQDWaY,Borkor Borkor,0.804
0.655,Thanks Giving,Bisa Kdei,0.769,194626,0.737,0.0,8,0.108,-4.761,0,Afrobeats 2014,20.0,0.0694,109.077,4,3waK6Sgf92GoXqfRPTBTnH,Baba,0.631
0.145,The Baddest,Moelogo,0.76,246142,0.904,0.000171,6,0.845,-1.841,0,Afrobeats 2014,9.0,0.13,98.942,4,2Ur6A0Cltw0BrWg8h9jOJM,The Baddest - Remix,0.526
0.115,Sarkology,Sarkodie,0.841,227030,0.894,3.66e-06,9,0.0394,-3.696,0,Afrobeats 2014,33.0,0.105,128.983,4,3elGAya8lU9d2dC1J4QYuh,Down on One (feat. Fuse Odg),0.967
0.00682,Re-Vee-Lation,MzVee,0.677,206286,0.778,0.0,1,0.169,-4.651,1,Afrobeats 2014,2.0,0.0616,105.068,4,3mPPTM9CLUzAWQt9O5XJve,Natural Girl,0.653
0.0536,On Top Your Matter,WizKid,0.706,284814,0.966,0.0,0,0.0566,-1.266,1,Afrobeats 2014,29.0,0.0564,124.003,4,7wZRhKE6XQVWU2FGiY80vb,On Top Your Matter,0.97
